description,industry,level,size,line_code,value,Unit,footnotes
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased opportunities to develop and sell new goods and services: don't know,Wood & paper product,2,total,D0203.04,51,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased opportunities to develop and sell new goods and services: don't know,"Printing, publishing, & recorded media",2,total,D0203.04,33,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased opportunities to develop and sell new goods and services: don't know,"Petroleum, coal, chemical, & associated product",2,total,D0203.04,51,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased opportunities to develop and sell new goods and services: don't know,Non-metallic mineral product,2,total,D0203.04,36,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased opportunities to develop and sell new goods and services: don't know,Metal product,2,total,D0203.04,126,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased opportunities to develop and sell new goods and services: don't know,Transport and industrial machinery & equipment,2,total,D0203.04,108,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased opportunities to develop and sell new goods and services: don't know,Other machinery & equipment,2,total,D0203.04,54,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased opportunities to develop and sell new goods and services: don't know,Other manufacturing,2,total,D0203.04,57,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased opportunities to develop and sell new goods and services: don't know,"Electricity, gas, water, & waste services",1,total,D0203.04,21,Number of businesses,1 and 2 and 3 and 5 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased opportunities to develop and sell new goods and services: don't know,Construction,1,total,D0203.04,1254,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased opportunities to develop and sell new goods and services: don't know,Wholesale trade,1,total,D0203.04,321,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased opportunities to develop and sell new goods and services: don't know,Machinery & equipment wholesaling,2,total,D0203.04,66,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased opportunities to develop and sell new goods and services: don't know,Other wholesale trade,2,total,D0203.04,255,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased opportunities to develop and sell new goods and services: don't know,Retail trade,1,total,D0203.04,711,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased opportunities to develop and sell new goods and services: don't know,Accommodation & food services,1,total,D0203.04,1599,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased opportunities to develop and sell new goods and services: don't know,"Transport, postal, & warehousing",1,total,D0203.04,261,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased opportunities to develop and sell new goods and services: don't know,Information media & telecommunications,1,total,D0203.04,54,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased opportunities to develop and sell new goods and services: don't know,Publishing,2,total,D0203.04,18,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased opportunities to develop and sell new goods and services: don't know,Motion picture,2,total,D0203.04,18,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased opportunities to develop and sell new goods and services: don't know,Telecommunications,2,total,D0203.04,18,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased opportunities to develop and sell new goods and services: don't know,Financial & insurance services,1,total,D0203.04,75,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased opportunities to develop and sell new goods and services: don't know,Finance,2,total,D0203.04,27,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased opportunities to develop and sell new goods and services: don't know,Insurance,2,total,D0203.04,3,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased opportunities to develop and sell new goods and services: don't know,Auxiliary,2,total,D0203.04,48,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased opportunities to develop and sell new goods and services: don't know,"Rental, hiring, & real estate services",1,total,D0203.04,156,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased opportunities to develop and sell new goods and services: don't know,"Professional, scientific, & technical services",1,total,D0203.04,477,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased opportunities to develop and sell new goods and services: don't know,Computer systems design,2,total,D0203.04,135,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased opportunities to develop and sell new goods and services: don't know,Other professional scientific,2,total,D0203.04,342,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased opportunities to develop and sell new goods and services: don't know,Administrative & support services,1,total,D0203.04,204,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased opportunities to develop and sell new goods and services: don't know,Education & training,1,total,D0203.04,171,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased opportunities to develop and sell new goods and services: don't know,Health care & social assistance,1,total,D0203.04,333,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased opportunities to develop and sell new goods and services: don't know,Arts & recreation services,1,total,D0203.04,51,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased opportunities to develop and sell new goods and services: don't know,Other services,1,total,D0203.04,291,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased opportunities to develop and sell new goods and services: don't know,total,0,total,D0203.04,7476,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: not at all,total,0,6–19 employees,D0204.01,13962,Number of businesses,1 and 2 and 3 and 4 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: not at all,total,0,20–49 employees,D0204.01,3759,Number of businesses,1 and 2 and 3 and 4 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: not at all,total,0,50–99 employees,D0204.01,981,Number of businesses,1 and 2 and 3 and 4 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: not at all,total,0,100+ employees,D0204.01,699,Number of businesses,1 and 2 and 3 and 4 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: not at all,"Agriculture, forestry, & fishing",1,total,D0204.01,831,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: not at all,Agriculture,2,total,D0204.01,462,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: not at all,Commercial fishing,2,total,D0204.01,15,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: not at all,Forestry & logging,2,total,D0204.01,51,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: not at all,"Agriculture, forestry, & fishing support services",2,total,D0204.01,303,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: not at all,Mining,1,total,D0204.01,48,Number of businesses,1 and 2 and 3 and 5 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: not at all,Manufacturing,1,total,D0204.01,1941,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: not at all,"Food, beverage, & tobacco",2,total,D0204.01,351,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: not at all,"Textile, clothing, footwear, & leather",2,total,D0204.01,93,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: not at all,Wood & paper product,2,total,D0204.01,201,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: not at all,"Printing, publishing, & recorded media",2,total,D0204.01,81,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: not at all,"Petroleum, coal, chemical, & associated product",2,total,D0204.01,138,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: not at all,Non-metallic mineral product,2,total,D0204.01,57,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: not at all,Metal product,2,total,D0204.01,375,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: not at all,Transport and industrial machinery & equipment,2,total,D0204.01,363,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: not at all,Other machinery & equipment,2,total,D0204.01,108,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: not at all,Other manufacturing,2,total,D0204.01,168,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: not at all,"Electricity, gas, water, & waste services",1,total,D0204.01,51,Number of businesses,1 and 2 and 3 and 5 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: not at all,Construction,1,total,D0204.01,2838,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: not at all,Wholesale trade,1,total,D0204.01,1038,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: not at all,Machinery & equipment wholesaling,2,total,D0204.01,423,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: not at all,Other wholesale trade,2,total,D0204.01,615,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: not at all,Retail trade,1,total,D0204.01,1482,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: not at all,Accommodation & food services,1,total,D0204.01,2163,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: not at all,"Transport, postal, & warehousing",1,total,D0204.01,456,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: not at all,Information media & telecommunications,1,total,D0204.01,255,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: not at all,Publishing,2,total,D0204.01,99,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: not at all,Motion picture,2,total,D0204.01,87,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: not at all,Telecommunications,2,total,D0204.01,66,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: not at all,Financial & insurance services,1,total,D0204.01,393,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: not at all,Finance,2,total,D0204.01,96,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: not at all,Insurance,2,total,D0204.01,18,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: not at all,Auxiliary,2,total,D0204.01,282,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: not at all,"Rental, hiring, & real estate services",1,total,D0204.01,558,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: not at all,"Professional, scientific, & technical services",1,total,D0204.01,3528,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: not at all,Computer systems design,2,total,D0204.01,705,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: not at all,Other professional scientific,2,total,D0204.01,2823,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: not at all,Administrative & support services,1,total,D0204.01,891,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: not at all,Education & training,1,total,D0204.01,639,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: not at all,Health care & social assistance,1,total,D0204.01,1560,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: not at all,Arts & recreation services,1,total,D0204.01,300,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: not at all,Other services,1,total,D0204.01,426,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: not at all,total,0,total,D0204.01,19401,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a little,total,0,6–19 employees,D0204.02,9876,Number of businesses,1 and 2 and 3 and 4 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a little,total,0,20–49 employees,D0204.02,2529,Number of businesses,1 and 2 and 3 and 4 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a little,total,0,50–99 employees,D0204.02,834,Number of businesses,1 and 2 and 3 and 4 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a little,total,0,100+ employees,D0204.02,813,Number of businesses,1 and 2 and 3 and 4 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a little,"Agriculture, forestry, & fishing",1,total,D0204.02,975,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a little,Agriculture,2,total,D0204.02,603,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a little,Commercial fishing,2,total,D0204.02,24,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a little,Forestry & logging,2,total,D0204.02,87,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a little,"Agriculture, forestry, & fishing support services",2,total,D0204.02,261,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a little,Mining,1,total,D0204.02,33,Number of businesses,1 and 2 and 3 and 5 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a little,Manufacturing,1,total,D0204.02,1812,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a little,"Food, beverage, & tobacco",2,total,D0204.02,450,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a little,"Textile, clothing, footwear, & leather",2,total,D0204.02,87,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a little,Wood & paper product,2,total,D0204.02,183,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a little,"Printing, publishing, & recorded media",2,total,D0204.02,63,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a little,"Petroleum, coal, chemical, & associated product",2,total,D0204.02,168,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a little,Non-metallic mineral product,2,total,D0204.02,87,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a little,Metal product,2,total,D0204.02,288,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a little,Transport and industrial machinery & equipment,2,total,D0204.02,330,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a little,Other machinery & equipment,2,total,D0204.02,51,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a little,Other manufacturing,2,total,D0204.02,108,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a little,"Electricity, gas, water, & waste services",1,total,D0204.02,66,Number of businesses,1 and 2 and 3 and 5 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a little,Construction,1,total,D0204.02,2184,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a little,Wholesale trade,1,total,D0204.02,1236,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a little,Machinery & equipment wholesaling,2,total,D0204.02,345,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a little,Other wholesale trade,2,total,D0204.02,888,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a little,Retail trade,1,total,D0204.02,1923,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a little,Accommodation & food services,1,total,D0204.02,1785,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a little,"Transport, postal, & warehousing",1,total,D0204.02,729,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a little,Information media & telecommunications,1,total,D0204.02,105,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a little,Publishing,2,total,D0204.02,39,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a little,Motion picture,2,total,D0204.02,39,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a little,Telecommunications,2,total,D0204.02,21,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a little,Financial & insurance services,1,total,D0204.02,150,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a little,Finance,2,total,D0204.02,69,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a little,Insurance,2,total,D0204.02,9,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a little,Auxiliary,2,total,D0204.02,72,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a little,"Rental, hiring, & real estate services",1,total,D0204.02,189,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a little,"Professional, scientific, & technical services",1,total,D0204.02,936,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a little,Computer systems design,2,total,D0204.02,105,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a little,Other professional scientific,2,total,D0204.02,834,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a little,Administrative & support services,1,total,D0204.02,426,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a little,Education & training,1,total,D0204.02,219,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a little,Health care & social assistance,1,total,D0204.02,642,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a little,Arts & recreation services,1,total,D0204.02,138,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a little,Other services,1,total,D0204.02,504,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a little,total,0,total,D0204.02,14055,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a lot,total,0,6–19 employees,D0204.03,6405,Number of businesses,1 and 2 and 3 and 4 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a lot,total,0,20–49 employees,D0204.03,1542,Number of businesses,1 and 2 and 3 and 4 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a lot,total,0,50–99 employees,D0204.03,465,Number of businesses,1 and 2 and 3 and 4 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a lot,total,0,100+ employees,D0204.03,342,Number of businesses,1 and 2 and 3 and 4 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a lot,"Agriculture, forestry, & fishing",1,total,D0204.03,1488,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a lot,Agriculture,2,total,D0204.03,1149,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a lot,Commercial fishing,2,total,D0204.03,15,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a lot,Forestry & logging,2,total,D0204.03,75,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a lot,"Agriculture, forestry, & fishing support services",2,total,D0204.03,252,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a lot,Mining,1,total,D0204.03,33,Number of businesses,1 and 2 and 3 and 5 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a lot,Manufacturing,1,total,D0204.03,945,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a lot,"Food, beverage, & tobacco",2,total,D0204.03,267,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a lot,"Textile, clothing, footwear, & leather",2,total,D0204.03,33,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a lot,Wood & paper product,2,total,D0204.03,111,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a lot,"Printing, publishing, & recorded media",2,total,D0204.03,24,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a lot,"Petroleum, coal, chemical, & associated product",2,total,D0204.03,87,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a lot,Non-metallic mineral product,2,total,D0204.03,36,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a lot,Metal product,2,total,D0204.03,207,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a lot,Transport and industrial machinery & equipment,2,total,D0204.03,114,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a lot,Other machinery & equipment,2,total,D0204.03,30,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a lot,Other manufacturing,2,total,D0204.03,33,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a lot,"Electricity, gas, water, & waste services",1,total,D0204.03,66,Number of businesses,1 and 2 and 3 and 5 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a lot,Construction,1,total,D0204.03,1431,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a lot,Wholesale trade,1,total,D0204.03,558,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Increased costs due to stricter rules or standards: a lot,Machinery & equipment wholesaling,2,total,D0204.03,78,Number of businesses,1 and 2 and 3 and 6
